original,one,two
fouronevhnrz44,44,44
eightg1,11,81
4ninejfpd1jmmnnzjdtk5sjfttvgtdqspvmnhfbm,45,45
78seven8,78,78
6pcrrqgbzcspbd,66,66
7sevenseven,77,77
1threeeight66,16,16
one1sevensskhdreight,11,18
rninethree6,66,96
eight45fourfgfive1,41,81
xdlnbfzxgfmhd4t,44,44
7tf,77,77
8oneldkrfcssbfeight,88,88
five5ninebvvfv,55,59
sixrhxkzcgfhltrchq3three91,31,61
lnxms8,88,88
threekv33eightninethree,33,33
fourxrsxhclj99twosevennine7htxdr,97,47
5hdhtdxgktztjdjrhkmlblsevenseven1four8,58,58
25xmvshkbmtkmvqpfhgq8fivefqctjm6two,26,22
nine533two,53,92
sixmbkjzpcxvfive2,22,62
seven3fivevhkpjvfqsfivemfdvlkhhmmvtztjf,33,75
3eight5threefour,35,34
fplrjjznseventwocrv9,99,79
mxqvdb5onesix84fpkzf,54,54
17five6mvxgkkmz2two2mf,12,12
lrqnqfncvvvrrpkfour92xsxfztwonehsb,92,41
dphngmgfhhhcjxmbmqdk3nine54,34,34
34xdbhnbhbmljxc55oneeight,35,38
cpgdcctwothreevlqmk1qpdthree,11,23
977ckpkmx5,95,95
7cx81,71,71
vrtgzhhrsevennzgjqhsqdxcjtm2gsj,22,72
dtkgj89bz5threenine,85,89
256mctgqnjbpr,26,26
smmthmrnj6threevrndhnrqq4qpnxz,64,64
vfrcvbgpdfjbzhchqmtjgxrmddhmggmqrgs7gxfjffivefour,77,74
twoeight8two3,83,23
threedpfour5eightthreebc3,53,33
csdfivefhgkjfcsvsvqsrbtplhjnine7pqhpvhjqone,77,51
seven3375sevenqgjndftrsh9,39,79
4six1npbnvfdl27hqvdrxztq,47,47
twopmmblrnhmq6zp1,61,21
34jvrtkfdcmnmblg269six5,35,35
fouroneeight1lpvssjskkjvhpmcb,11,41
kjb6,66,66
8rsix4,84,84
hcprhbhzgjklpql92pntdmxskg,92,92
3766zthm7lts,37,37
eight9sixqnkqbfrbrstbxxsixeight,99,88
sjncbhbcrmnmsmf4sixkhscclmrjfjgqgrdtpjqpgdsg3,43,43
zrxtgzscx5lgfcsbqkjnst1,51,51
nineonedzhsqlscgl2xpk,22,92
9eightljkpkkq,99,98
blhstnzdfttwocfjhgsix41hrx6,46,26
5dzsix5,55,55
vhlkone6five79,69,19
nkkm65tfnxhtmzrfpfive,65,65
7hcnzjn4,74,74
ngckn5ppcsvjsbstwo,55,52
5qld,55,55
zbgghnineninezkphpf6,66,96
8nine4sevenjlhlzlbztxbcrpc,84,87
3bcdmqxgb,33,33
8xvhfr3foureightwocj,83,82
nine68zvlfs,68,98
8one8xldlrninenine81seven,81,87
7dtvdvgnnqt6,76,76
htxkfzhxhfmc7631lklzppbtrbfive,71,75
seven89lrxddqtsvvt18,88,78
dnvcsqcmp7fourkrjhndsghjr,77,74
ztkqqqdctdeightonefivezdctxbfg7two8,78,88
lptlbtmmkdthreetfcttkknf53gtmvkcgmj9zvsvmsbstznmd,59,39
hbxr1ninefvjkkxkhbrtwo6,16,16
dbmxvpsvp7jdnvsdnlv,77,77
seventhree1,11,71
seven1oneseven,11,77
seventhreejcdvcgfthzlvl8eighttwo1,81,71
2fqkkgsvpjv9ninesix,29,26
xfmkdtxk2two,22,22
